mirna	freq
hsa-mir-155	129
hsa-mir-452	11
hsa-mir-542	15
hsa-mir-6720	1
hsa-mir-1305	1
hsa-mir-26a-2	18
hsa-mir-561	1
hsa-mir-626	1
hsa-mir-4446	1
hsa-mir-568	1
hsa-mir-455	15
hsa-mir-30e	21
hsa-mir-520h	7
hsa-mir-548b	3
hsa-mir-92b	18
hsa-mir-431	10
hsa-mir-1247	4
hsa-mir-601	4
hsa-mir-425	18
hsa-mir-125a	41
hsa-mir-519b	4
hsa-mir-1228	5
hsa-mir-600	1
hsa-mir-449c	2
hsa-mir-3198	1
hsa-mir-26a	54
hsa-mir-128-2	14
hsa-mir-516a	2
hsa-mir-576	4
hsa-mir-1261	1
hsa-mir-195	43
hsa-mir-4532	2
hsa-mir-938	4
hsa-mir-4467	1
hsa-mir-374b	6
hsa-mir-135b	27
hsa-mir-1237	1
hsa-mir-544b	2
hsa-mir-519c	4
hsa-mir-661	3
hsa-mir-3925	1
hsa-mir-758	4
hsa-mir-937	2
hsa-mir-551a	3
hsa-mir-98	27
hsa-mir-129-2	15
hsa-mir-526b	5
hsa-mir-892a	2
hsa-mir-633	1
hsa-mir-495	19
hsa-mir-376c	12
hsa-mir-365a	6
hsa-mir-1976	1
hsa-mir-296	21
hsa-mir-4706	1
hsa-mir-4324	2
hsa-mir-376a-2	6
hsa-mir-933	2
hsa-mir-191	26
hsa-mir-379	7
hsa-mir-4290	1
hsa-mir-496	3
hsa-mir-101	33
hsa-mir-378d	3
hsa-mir-210	60
hsa-mir-320a	27
hsa-mir-550b	1
hsa-mir-4306	2
hsa-mir-325	3
hsa-mir-6826	1
hsa-mir-122	51
hsa-mir-1296	3
hsa-mir-518c	1
hsa-mir-326	20
hsa-mir-1324	1
hsa-mir-6875	1
hsa-mir-4501	1
hsa-mir-4291	1
hsa-mir-202	14
hsa-mir-802	3
hsa-mir-1224	6
hsa-mir-32	17
hsa-mir-383	17
hsa-mir-518e	5
hsa-mir-1468	1
hsa-mir-152	26
hsa-mir-125b-1	35
hsa-mir-324	14
hsa-mir-302a	18
hsa-mir-454	10
hsa-mir-620	1
hsa-mir-141	38
hsa-mir-548d	4
hsa-mir-3144	1
hsa-mir-596	1
hsa-mir-140	29
hsa-mir-377	12
hsa-mir-187	14
hsa-mir-3611	1
hsa-mir-523	4
hsa-mir-5010	1
hsa-mir-24-1	23
hsa-mir-365b	6
hsa-mir-1827	3
hsa-mir-30c	31
hsa-mir-34c	48
hsa-mir-628	6
hsa-mir-143	66
hsa-mir-3074	2
hsa-mir-612	3
hsa-mir-1914	1
hsa-mir-4476	1
hsa-mir-502	8
hsa-mir-185	25
hsa-mir-4458	1
hsa-mir-3200	1
hsa-mir-147b	5
hsa-mir-411	9
hsa-mir-3686	1
hsa-mir-450a-1	2
hsa-mir-562	1
hsa-mir-648	3
hsa-mir-621	2
hsa-mir-4666a	1
hsa-mir-1281	2
hsa-mir-2682	1
